restaurant_id,restaurant_name,zone,cuisine_type,avg_prep_time_mins,rating,is_premium,lat,lng
REST_0001,Royal Hub 1,Whitefield,Italian,15,3.3,0,12.915374,77.648134
REST_0002,Spice Dhaba 2,Basavanagudi,Desserts,9,3.1,0,12.932796,77.601071
REST_0003,Tasty Corner 3,Koramangala,Street Food,21,3.4,0,12.98839,77.661886
REST_0004,Golden Cafe 4,Koramangala,Biryani,16,3.3,0,13.043582,77.567319
REST_0005,Green Bites 5,HSR Layout,Biryani,35,3.7,0,12.939678,77.50869
REST_0006,Tasty Bites 6,Bellandur,Desserts,10,4.1,0,13.024411,77.623704
REST_0007,Hungry Corner 7,Malleshwaram,South Indian,9,4.3,0,13.01596,77.697044
REST_0008,Spice Cafe 8,BTM Layout,Fast Food,22,4.3,0,12.954725,77.574036
REST_0009,Urban Bites 9,Jayanagar,Thai,28,3.3,0,13.009369,77.53268
REST_0010,Urban Bowl 10,Rajajinagar,Italian,29,3.6,0,13.015247,77.511188
REST_0011,Desi Cafe 11,Indiranagar,Fast Food,10,3.4,0,13.041436,77.675274
REST_0012,Fresh Grill 12,JP Nagar,Desserts,28,3.9,0,12.939732,77.549326
REST_0013,Tasty Hub 13,Basavanagudi,Thai,21,4.8,0,12.932898,77.699508
REST_0014,Quick Bites 14,Bommanahalli,North Indian,35,3.2,0,12.994117,77.658416
REST_0015,Hungry Bites 15,Hebbal,Desserts,20,4.2,0,12.970207,77.550283
REST_0016,Royal Bites 16,Basavanagudi,Street Food,32,3.5,0,12.996144,77.52231
REST_0017,Golden Grill 17,Hebbal,North Indian,31,4.8,0,12.975088,77.53573
REST_0018,Urban Bowl 18,Whitefield,Thai,14,3.3,0,13.014377,77.607876
REST_0019,Royal Dhaba 19,Bommanahalli,Biryani,23,3.0,0,13.039365,77.675744
REST_0020,Fresh Kitchen 20,Banashankari,Italian,26,4.9,0,12.972899,77.513843
REST_0021,Golden Express 21,Basavanagudi,Continental,25,3.3,0,12.979151,77.621319
REST_0022,Tasty Corner 22,Jayanagar,Fast Food,20,5.0,1,12.965715,77.603515
REST_0023,Fresh Corner 23,Whitefield,South Indian,18,3.0,0,12.983088,77.617688
